id_municipio,nome,indice_risco,custo_atendimento,populacao
4314902,Porto Alegre,0.92,1850.0,1400000
4304606,Canoas,0.88,1200.0,348000
4318705,Sao Leopoldo,0.81,980.0,238000
4309209,Gravatai,0.74,1100.0,285000
4323002,Viamon,0.69,900.0,256000
4313409,Novo Hamburgo,0.77,1050.0,247000
4303103,Cachoeirinha,0.71,860.0,132000
4313375,Nova Santa Rita,0.84,720.0,30000
4300604,Alvorada,0.7,760.0,212000
4312401,Montenegro,0.73,980.0,65000
4319505,Sapucaia do Sul,0.82,870.0,140000
4306767,Eldorado do Sul,0.91,700.0,42000
